canton_code,canton_name,noga_division,noga_label,year,etablissements,emplois,emplois_eq_plein_temps
999,"Suisse",79,"79 Activités des agences de voyage, voyagistes, services de réservation et activités connexes",2023,2479,16397,11862
999,"Suisse",80,"80 Enquêtes et sécurité",2023,918,25495,17955
999,"Suisse",81,"81 Services relatifs aux bâtiments et aménagement paysager",2023,19056,160087,102805
999,"Suisse",82,"82 Activités administratives et autres activités de soutien aux entreprises",2023,3711,21210,15810
999,"Suisse",84,"84 Administration publique et défense, sécurité sociale obligatoire",2023,8783,215230,175700
999,"Suisse",85,"85 Enseignement",2023,37157,427215,261077
999,"Suisse",86,"86 Activités pour la santé humaine",2023,70938,469899,335408
999,"Suisse",87,"87 Hébergement médico-social et social",2023,3927,211804,150284
999,"Suisse",88,"88 Action sociale sans hébergement",2023,13713,146752,90994
999,"Suisse",90,"90 Activités créatives, artistiques et de spectacle",2023,16509,35108,17157
999,"Suisse",91,"91 Bibliothèques, archives, musées et autres activités culturelles",2023,1309,15951,9660
999,"Suisse",92,"92 Organisation de jeux de hasard et d'argent",2023,83,3415,2654
999,"Suisse",93,"93 Activités sportives, récréatives et de loisirs",2023,10815,64260,34996
999,"Suisse",94,"94 Activités des organisations associatives",2023,14214,110771,65930
999,"Suisse",95,"95 Réparation d'ordinateurs et de biens personnels et domestiques",2023,2556,5584,4345
999,"Suisse",96,"96 Autres services personnels",2023,44518,75521,50064
1,"Zürich",999,"Division économique - total",2023,125493,1141903,875865
1,"Zürich",1,"01 Culture et production animale, chasse et services annexes",2023,3139,11161,7500
1,"Zürich",2,"02 Sylviculture et exploitation forestière",2023,115,446,363
1,"Zürich",3,"03 Pêche et aquaculture",2023,14,62,53
1,"Zürich",5,"05 Extraction de houille et de lignite",2023,0,0,0
1,"Zürich",6,"06 Extraction d'hydrocarbures",2023,0,0,0
1,"Zürich",7,"07 Extraction de minerais métalliques",2023,0,0,0
1,"Zürich",8,"08 Autres industries extractives",2023,30,852,793
1,"Zürich",10,"10 Industries alimentaires",2023,533,11277,9494
1,"Zürich",11,"11 Fabrication de boissons",2023,62,662,568
1,"Zürich",13,"13 Fabrication de textiles",2023,121,651,545
1,"Zürich",14,"14 Industrie de l'habillement",2023,314,688,481
1,"Zürich",15,"15 Industrie du cuir et de la chaussure",2023,47,1140,1041
1,"Zürich",16,"16 Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles, fabrication d'articles en vannerie et sparterie",2023,794,3780,3384
1,"Zürich",17,"17 Industrie du papier et du carton",2023,25,535,490
1,"Zürich",18,"18 Imprimerie et reproduction d'enregistrements",2023,332,2562,2257
1,"Zürich",19,"19 Cokéfaction et raffinage",2023,,17,15
1,"Zürich",20,"20 Industrie chimique",2023,140,3364,3053
1,"Zürich",21,"21 Industrie pharmaceutique",2023,36,703,643
1,"Zürich",22,"22 Fabrication de produits en caoutchouc et en plastique",2023,91,1623,1489
1,"Zürich",23,"23 Fabrication d'autres produits minéraux non métalliques",2023,193,1611,1437
1,"Zürich",24,"24 Métallurgie",2023,28,561,521
1,"Zürich",25,"25 Fabrication de produits métalliques, à l'exception des machines et des équipements",2023,824,9391,8570
1,"Zürich",26,"26 Fabrication de produits informatiques, électroniques et optiques",2023,254,14423,13511
1,"Zürich",27,"27 Fabrication d'équipements électriques",2023,160,3298,3088
1,"Zürich",28,"28 Fabrication de machines et équipements n.c.a.",2023,301,12422,11693
1,"Zürich",29,"29 Industrie automobile",2023,44,569,512
1,"Zürich",30,"30 Fabrication d'autres matériels de transport",2023,41,1892,1811
1,"Zürich",31,"31 Fabrication de meubles",2023,113,886,801
1,"Zürich",32,"32 Autres industries manufacturières",2023,672,3487,2968
1,"Zürich",33,"33 Réparation et installation de machines et d'équipements",2023,317,4113,3852
1,"Zürich",35,"35 Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2023,114,3745,3362
1,"Zürich",36,"36 Captage, traitement et distribution d'eau",2023,64,561,473
1,"Zürich",37,"37 Collecte et traitement des eaux usées",2023,108,1206,1111
1,"Zürich",38,"38 Collecte, traitement et élimination des déchets, récupération",2023,116,2002,1783
1,"Zürich",39,"39 Dépollution et autres services de gestion des déchets",2023,8,28,23
1,"Zürich",41,"41 Construction de bâtiments",2023,1201,12162,11256
1,"Zürich",42,"42 Génie civil",2023,124,3074,2934
1,"Zürich",43,"43 Travaux de construction spécialisés",2023,6037,39222,35846
1,"Zürich",45,"45 Commerce et réparation d'automobiles et de motocycles",2023,2731,16587,14755
1,"Zürich",46,"46 Commerce de gros, à l'exception des automobiles et des motocycles",2023,3871,46065,40888
1,"Zürich",47,"47 Commerce de détail, à l'exception des automobiles et des motocycles",2023,7850,56624,42648
1,"Zürich",49,"49 Transports terrestres et transport par conduites",2023,2640,20817,17912
1,"Zürich",50,"50 Transports par eau",2023,17,368,294
1,"Zürich",51,"51 Transports aériens",2023,52,9481,7931
1,"Zürich",52,"52 Entreposage et services auxiliaires des transports",2023,362,13041,11183
1,"Zürich",53,"53 Activités de poste et de courrier",2023,336,7279,4997
1,"Zürich",55,"55 Hébergement",2023,362,7874,6518
1,"Zürich",56,"56 Restauration",2023,4206,41365,30012
1,"Zürich",58,"58 Édition",2023,456,6801,5278
1,"Zürich",59,"59 Production de films cinématographiques, de vidéo et de programmes de télévision, enregistrement sonore et édition musicale",2023,1371,3951,2537
1,"Zürich",60,"60 Programmation et diffusion",2023,33,3629,2801
1,"Zürich",61,"61 Télécommunications",2023,189,8603,8110
1,"Zürich",62,"62 Programmation, conseil et autres activités informatiques",2023,4879,47540,42687
1,"Zürich",63,"63 Services d'information",2023,437,5181,4539
1,"Zürich",64,"64 Activités des services financiers, hors assurance et caisses de retraite",2023,1308,43715,39547
1,"Zürich",65,"65 Assurance",2023,236,21933,19185
1,"Zürich",66,"66 Activités auxiliaires de services financiers et d'assurance",2023,2329,25280,21954
1,"Zürich",68,"68 Activités immobilières",2023,3243,16589,10508
1,"Zürich",69,"69 Activités juridiques et comptables",2023,4652,24461,19958
1,"Zürich",70,"70 Activités des sièges sociaux, conseil de gestion",2023,6554,52264,45386
1,"Zürich",71,"71 Activités d'architecture et d'ingénierie, activités de contrôle et analyses techniques",2023,5259,35094,29220
1,"Zürich",72,"72 Recherche-développement scientifique",2023,390,6369,5443
1,"Zürich",73,"73 Publicité et études de marché",2023,1385,8503,6215
