source_scheme,source_code,target_scheme,target_code,relation,source_id
NACE_2.0,09,ISIC_4,09,closeMatch,eurostat-nace2-isic4
NACE_2.0,091,ISIC_4,091,closeMatch,eurostat-nace2-isic4
NACE_2.0,0910,ISIC_4,0910,closeMatch,eurostat-nace2-isic4
NACE_2.0,099,ISIC_4,099,closeMatch,eurostat-nace2-isic4
NACE_2.0,0990,ISIC_4,0990,closeMatch,eurostat-nace2-isic4
NACE_2.0,10,ISIC_4,10,closeMatch,eurostat-nace2-isic4
NACE_2.0,101,ISIC_4,101,closeMatch,eurostat-nace2-isic4
NACE_2.0,1011,ISIC_4,1010,closeMatch,eurostat-nace2-isic4
NACE_2.0,1012,ISIC_4,1010,closeMatch,eurostat-nace2-isic4
NACE_2.0,1013,ISIC_4,1010,closeMatch,eurostat-nace2-isic4
NACE_2.0,102,ISIC_4,102,closeMatch,eurostat-nace2-isic4
NACE_2.0,1020,ISIC_4,1020,closeMatch,eurostat-nace2-isic4
NACE_2.0,103,ISIC_4,103,closeMatch,eurostat-nace2-isic4
NACE_2.0,1031,ISIC_4,1030,closeMatch,eurostat-nace2-isic4
NACE_2.0,1032,ISIC_4,1030,closeMatch,eurostat-nace2-isic4
NACE_2.0,1039,ISIC_4,1030,closeMatch,eurostat-nace2-isic4
NACE_2.0,104,ISIC_4,104,closeMatch,eurostat-nace2-isic4
NACE_2.0,1041,ISIC_4,1040,closeMatch,eurostat-nace2-isic4
NACE_2.0,1042,ISIC_4,1040,closeMatch,eurostat-nace2-isic4
NACE_2.0,105,ISIC_4,105,closeMatch,eurostat-nace2-isic4
NACE_2.0,1051,ISIC_4,1050,closeMatch,eurostat-nace2-isic4
NACE_2.0,1052,ISIC_4,1050,closeMatch,eurostat-nace2-isic4
NACE_2.0,106,ISIC_4,106,closeMatch,eurostat-nace2-isic4
NACE_2.0,1061,ISIC_4,1061,closeMatch,eurostat-nace2-isic4
NACE_2.0,1062,ISIC_4,1062,closeMatch,eurostat-nace2-isic4
NACE_2.0,107,ISIC_4,107,closeMatch,eurostat-nace2-isic4
NACE_2.0,1071,ISIC_4,1071,closeMatch,eurostat-nace2-isic4
NACE_2.0,1072,ISIC_4,1071,closeMatch,eurostat-nace2-isic4
NACE_2.0,1073,ISIC_4,1074,closeMatch,eurostat-nace2-isic4
NACE_2.0,108,ISIC_4,107,closeMatch,eurostat-nace2-isic4
NACE_2.0,1081,ISIC_4,1072,closeMatch,eurostat-nace2-isic4
NACE_2.0,1082,ISIC_4,1073,closeMatch,eurostat-nace2-isic4
NACE_2.0,1083,ISIC_4,1079,closeMatch,eurostat-nace2-isic4
NACE_2.0,1084,ISIC_4,1079,closeMatch,eurostat-nace2-isic4
NACE_2.0,1085,ISIC_4,1075,closeMatch,eurostat-nace2-isic4
NACE_2.0,1086,ISIC_4,1079,closeMatch,eurostat-nace2-isic4
NACE_2.0,1089,ISIC_4,1079,closeMatch,eurostat-nace2-isic4
NACE_2.0,109,ISIC_4,108,closeMatch,eurostat-nace2-isic4
NACE_2.0,1091,ISIC_4,1080,closeMatch,eurostat-nace2-isic4
