name,country,date_added,category,source_url,source_list,warning_type,additional_info
Finance Regulator,,2025-02-07,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/finance-regulator/,finma-warnings,unauthorized_provider,finance-regulator
Terra Nova Helvetica Genossenschaft,,2025-02-04,Entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/terra-nova-helvetica-genossenschaft/,finma-warnings,unauthorized_provider,terra-nova-helvetica-genossenschaft
Digital Asset Investment Limited,,2025-02-04,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/digital-asset-investment-limited/,finma-warnings,unauthorized_provider,digital-asset-investment-limited
Sparkraft Online,,2025-01-31,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/sparkraft-online/,finma-warnings,unauthorized_provider,sparkraft-online
StarUnionfx,,2025-01-31,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/starunionfx/,finma-warnings,unauthorized_provider,starunionfx
Litecoins Official Tradefx,,2025-01-31,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/litecoins-official-tradefx/,finma-warnings,unauthorized_provider,litecoins-official-tradefx
Wallenberg-Investment,,2025-01-30,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/wallenberg-investment/,finma-warnings,unauthorized_provider,wallenberg-investment
DeltaEdge Capital (Europe) AG,,2025-01-28,Entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/deltaedge-capital-europe-ag/,finma-warnings,unauthorized_provider,deltaedge-capital-europe-ag
Mineral Bank International,,2025-01-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/mineral-bank-international/,finma-warnings,unauthorized_provider,mineral-bank-international
amgroup.ag,,2025-01-27,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-amgroup-ag/,finma-warnings,unauthorized_provider,www-amgroup-ag
CIESA SWISS,,2025-01-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/ciesa-swiss/,finma-warnings,unauthorized_provider,ciesa-swiss
Alpen Invest,,2025-01-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/alpen-invest/,finma-warnings,unauthorized_provider,alpen-invest
Pocket App Credit & Finance,,2025-01-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/pocket-app-credit-and-finance/,finma-warnings,unauthorized_provider,pocket-app-credit-and-finance
Pocket App Credit,,2025-01-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/pocket-app-credit/,finma-warnings,unauthorized_provider,pocket-app-credit
First Premier Finances,,2025-01-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/first-premier-finances/,finma-warnings,unauthorized_provider,first-premier-finances
RedemTrade LTD,,2025-01-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/redemtrade-ltd/,finma-warnings,unauthorized_provider,redemtrade-ltd
ApexMarkets26,,2025-01-20,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/apexmarkets26/,finma-warnings,unauthorized_provider,apexmarkets26
Capital Horizon,,2025-01-17,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/capital-horizon/,finma-warnings,unauthorized_provider,capital-horizon
bvvag.com,,2025-01-16,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/bvvag-com/,finma-warnings,unauthorized_provider,bvvag-com
RoxoFX,,2025-01-15,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/roxofx/,finma-warnings,unauthorized_provider,roxofx
The Profit Legion,,2025-01-14,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/the-profit-legion/,finma-warnings,unauthorized_provider,the-profit-legion
www.stardust.financial,,2025-01-14,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-stardust-financial/,finma-warnings,unauthorized_provider,www-stardust-financial
PellerTrading,,2025-01-08,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/pellertrading/,finma-warnings,unauthorized_provider,pellertrading
WTCENTRAL,,2025-01-06,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/wtcentral/,finma-warnings,unauthorized_provider,wtcentral
Swiss Finance Bank,,2024-12-30,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/swiss-finance-bank/,finma-warnings,unauthorized_provider,swiss-finance-bank
Vital Group Assurances SA,,2024-12-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/vital-group-assurances-sa/,finma-warnings,unauthorized_provider,vital-group-assurances-sa
cnl-invest.ch,,2024-12-20,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/cnl-invest-ch/,finma-warnings,unauthorized_provider,cnl-invest-ch
Sui-Invest,,2024-12-18,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/sui-invest/,finma-warnings,unauthorized_provider,sui-invest
www.meier-partner.com,,2024-12-10,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-meier-partner-com/,finma-warnings,unauthorized_provider,www-meier-partner-com
Invest Precision,,2024-12-10,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/invest-precision/,finma-warnings,unauthorized_provider,invest-precision
The Capital Holdings,,2024-12-10,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/the-capital-holdings/,finma-warnings,unauthorized_provider,the-capital-holdings
www.atrimisag.com,,2024-12-10,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-atrimisag-com/,finma-warnings,unauthorized_provider,www-atrimisag-com
WiseBit AI,,2024-12-10,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/wisebit-ai/,finma-warnings,unauthorized_provider,wisebit-ai
StocksMarketsFx,,2024-12-10,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/stocksmarketsfx/,finma-warnings,unauthorized_provider,stocksmarketsfx
GoTrade LLC,,2024-12-10,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/gotrade-llc/,finma-warnings,unauthorized_provider,gotrade-llc
Suissebit GmbH,,2024-12-06,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/suissebit-gmbh/,finma-warnings,unauthorized_provider,suissebit-gmbh
Flat Ex Swiss AG,,2024-12-06,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/flat-ex-swiss-ag/,finma-warnings,unauthorized_provider,flat-ex-swiss-ag
Mergers Consulting Zentrum AG,,2024-12-06,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/mergers-consulting-zentrum-ag/,finma-warnings,unauthorized_provider,mergers-consulting-zentrum-ag
https://le-invest-ag.com,,2024-12-06,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/https-lei-nvest-ag-com/,finma-warnings,unauthorized_provider,https-lei-nvest-ag-com
