scheme,code,level,parent,label_fr,label_de,label_it,label_en,label_es
NACE_2.0,012,group,01,01.2 Cultures permanentes,01.2 Anbau mehrjähriger Pflanzen,01.2 Coltivazione di colture permanenti,01.2 Growing of perennial crops,
NACE_2.1,01,division,A,"01 Culture et production animale, chasse et services annexes","01 Landwirtschaft, Jagd und damit verbundene Tätigkeiten","01 Produzioni vegetali e animali, caccia e servizi connessi","01 Crop and animal production, hunting and related service activities",
NACE_2.1,011,group,01,01.1 Cultures non permanentes,01.1 Anbau ein- und zweijähriger Pflanzen,01.1 Coltivazione di colture agricole non permanenti,01.1 Growing of non-perennial crops,
NACE_2.1,0111,class,011,"01.11 Culture de céréales, à l’exception du riz, de légumineuses et de graines oléagineuses",01.11 Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten,"01.11 Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","01.11 Growing of cereals, other than rice, leguminous crops and oil seeds",
NACE_2.1,0112,class,011,01.12 Culture du riz,01.12 Anbau von Reis,01.12 Coltivazione di riso,01.12 Growing of rice,
NACE_2.1,0113,class,011,"01.13 Culture de légumes, de melons, de racines et de tubercules",01.13 Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"01.13 Coltivazione di ortaggi e meloni, radici e tuberi","01.13 Growing of vegetables and melons, roots and tubers",
NACE_2.1,0114,class,011,01.14 Culture de la canne à sucre,01.14 Anbau von Zuckerrohr,01.14 Coltivazione di canna da zucchero,01.14 Growing of sugar cane,
NACE_2.1,0115,class,011,01.15 Culture du tabac,01.15 Anbau von Tabak,01.15 Coltivazione di tabacco,01.15 Growing of tobacco,
NACE_2.1,0116,class,011,01.16 Culture de plantes à fibres,01.16 Anbau von Faserpflanzen,01.16 Coltivazione di piante tessili,01.16 Growing of fibre crops,
NACE_2.1,0119,class,011,01.19 Autres cultures non permanentes,01.19 Anbau von sonstigen ein- und zweijährigen Pflanzen,01.19 Coltivazione di altre colture agricole non permanenti,01.19 Growing of other non-perennial crops,
NACE_2.1,012,group,01,01.2 Cultures permanentes,01.2 Anbau mehrjähriger Pflanzen,01.2 Coltivazione di colture agricole permanenti,01.2 Growing of perennial crops,
ISIC_4,01,division,A,"Culture et production animale, chasse et activités de services connexes",,,"Crop and animal production, hunting and related service activities","Agricultura, ganadería, caza y actividades de servicios conexas"
ISIC_4,011,group,01,Cultures temporaires,,,Growing of non-perennial crops,Cultivo de plantas no perennes
ISIC_4,0111,class,011,"Culture de céréales (à l’exception du riz), de légumineuses et de graines oléagineuses",,,"Growing of cereals (except rice), leguminous crops and oil seeds","Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas"
ISIC_4,0112,class,011,Culture du riz,,,Growing of rice,Cultivo de arroz
ISIC_4,0113,class,011,"Culture de légumes et de melons, de racines et tubercules",,,"Growing of vegetables and melons, roots and tubers","Cultivo de hortalizas y melones, raíces y tubérculos"
ISIC_4,0114,class,011,Culture de canne à sucre,,,Growing of sugar cane,Cultivo de caña de azúcar
ISIC_4,0115,class,011,Culture de tabac,,,Growing of tobacco,Cultivo de tabaco
ISIC_4,0116,class,011,Culture de plantes à fibres textiles,,,Growing of fibre crops,Cultivo de plantas de fibra
ISIC_4,0119,class,011,Autres cultures temporaires,,,Growing of other non-perennial crops,Cultivo de otras plantas no perennes
ISIC_4,012,group,01,Cultures permanentes,,,Growing of perennial crops,Cultivo de plantas perennes
