hs8,hs6,chapter,heading,designation_fr,designation_de,designation_it,designation_en,unit_stat,duty_mfn_value,duty_mfn_unit,duty_mfn_currency,preferential_regimes,restrictions_codes,customs_relief_codes,valid_from,source_url
03045400,030454,3,0304,espadons (Xiphias gladius),Schwertfische (Xiphias gladius),pesci spada (Xiphias gladius),swordfish (Xiphias gladius),per 100 kg gross,0,par 100 kg brut,CHF,"{""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=03045400
03057200,030572,3,0305,"têtes, queues et vessies natatoires de poissons","Fischköpfe, Schwänze und Blasen","teste, code e vesciche","fish heads, tails and maws",per 100 kg gross,0,par 100 kg brut,CHF,"{""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=03057200
04011010,040110,4,0401,importés dans les limites du contingent tarifaire (c. n° 7),innerhalb des Zollkontingents (K-Nr. 7) eingeführt,importati nei limiti del contingente doganale (n. cont. 7),within the limits of the tariff quota (Q. No. 7),per 100 kg gross,18,par 100 kg brut,CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free"",""chine_sans_hong_kong"":16.2,""indonesie"":""free""}",[],,1995-07-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=04011010
04039039,040390,4,0403,autre,anderer,altra,other,per 100 kg gross,1408,par 100 kg brut,CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free""}",[],,1995-07-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=04039039
04052091,040520,4,0405,d'une teneur en poids de matières grasses égale ou supérieure à 39 % mais inférieure à 75 %,"mit einem Fettgehalt von 39 Gewichtsprozent oder mehr, jedoch weniger als 75 Gewichtsprozent","aventi tenore, in peso, di materie grasse di 39 % o più ma inferiore a 75 %","of a fat content, by weight, of 39 % or more but less than 75 %",per 100 kg gross,568.1,par 100 kg brut,CHF,"{""union_europeenne"":395.7,""pays_et_territoires_en_developpement"":558.1,""pays_en_developpement_les_moins_avances"":""free"",""turkiye"":518.1,""lesotho"":""free"",""canada"":558.1,""colombie"":558.1,""perou"":558.1,""royaume_uni"":395.7}",[],,2005-02-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=04052091
04069060,040690,4,0406,Cantal,Cantal,Cantal,Cantal,per 100 kg gross,51,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""pays_en_developpement_les_moins_avances"":""free"",""turkiye"":""free"",""lesotho"":""free"",""colombie"":""free"",""serbie"":""free"",""perou"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":25.5,""georgie"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free""}",[],,1995-07-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=04069060
09011100,090111,9,0901,non décaféiné,nicht entkoffeiniert,non decaffeinizzato,not decaffeinated,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""pays_en_developpement_les_moins_avances"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""chili"":""free"",""liban"":""free"",""israel"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=09011100
09024000,090240,9,0902,"thé noir (fermenté) et thé partiellement fermenté, présentés autrement",anderer schwarzer Tee (fermentiert) und anderer teilweise fermentierter Tee,"tè nero (fermentato) e tè parzialmente fermentato, altrimenti presentati",other black tea (fermented) and other partly fermented tea,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""chili"":""free"",""liban"":""free"",""israel"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=09024000
09062000,090620,9,0906,broyées ou pulvérisées,zerrieben oder in Pulverform,tritati o polverizzati,crushed or ground,per 100 kg gross,5,par 100 kg brut,CHF,"{""efta"":""free"",""pays_et_territoires_en_developpement"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""chili"":""free"",""egypte"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""georgie"":""free"",""indonesie"":""free"",""inde"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=09062000
09092200,090922,9,0909,broyées ou pulvérisées,zerrieben oder in Pulverform,tritati o polverizzati,crushed or ground,per 100 kg gross,2.5,par 100 kg brut,CHF,"{""efta"":""free"",""pays_et_territoires_en_developpement"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""mexique"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""georgie"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=09092200
