hs8,hs6,chapter,heading,designation_fr,designation_de,designation_it,designation_en,unit_stat,duty_mfn_value,duty_mfn_unit,duty_mfn_currency,preferential_regimes,restrictions_codes,customs_relief_codes,valid_from,source_url
22042923,220429,22,2204,d'un titre alcoométrique volumique excédant 13 % vol,mit einem Alkoholgehalt von mehr als 13 % Vol,con titolo alcolometrico volumico eccedente 13% vol,of an alcoholic strength by volume exceeding 13% vol,per 100 kg gross,46,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free""}",[],,2017-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=22042923
22082011,220820,22,2208,eaux-de-vie de vin,Weinbrand,acquaviti di vino,spirits obtained by distilling grape wine,per 100 kg gross,7,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""pays_et_territoires_en_developpement"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""chili"":""free"",""liban"":""free"",""israel"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1996-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=22082011
27011100,270111,27,2701,anthracite,Anthrazit,antracite,anthracite,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=27011100
27075010,270750,27,2707,destinés à être utilisés comme carburant,zur Verwendung als Treibstoff,destinate a essere utilizzate come carburante,for use as fuel,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=27075010
27101919,271019,27,2710,autres,andere,altri,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2002-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=27101919
27111490,271114,27,2711,autres,andere,altri,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=27111490
30012000,300120,30,3001,extraits de glandes ou d'autres organes ou de leurs sécrétions,Auszüge aus Drüsen oder anderen Organen oder ihren Absonderungen,estratti di ghiandole o di altri organi o delle loro secrezioni,extracts of glands or other organs or of their secretions,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=30012000
30029000,300290,30,3002,autres,andere,altri,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1996-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=30029000
30041000,300410,30,3004,"contenant des pénicillines ou des dérivés de ces produits, à structure d'acide pénicillanique, ou des streptomycines ou des dérivés de ces produits",Penicilline oder ihre Derivate (mit Penicillansäurestruktur) oder Streptomycine oder ihre Derivate enthaltend,"contenenti penicilline o loro derivati con struttura dell'acido penicillanico, o streptomicine o loro derivati","containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=30041000
30049000,300490,30,3004,autres,andere,altri,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2017-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=30049000
33011200,330112,33,3301,d'orange,Orangenöl,di arancio,of orange,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1996-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=33011200
33019000,330190,33,3301,autres,andere,altri,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=33019000
33049100,330491,33,3304,"poudres, y compris les poudres compactes","Puder, einschliesslich feste Puder","ciprie, comprese quelle compatte","powders, whether or not compressed",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=33049100
33062000,330620,33,3306,fils utilisés pour nettoyer les espaces interdentaires (fils dentaires),Garne zur Reinigung der Zahnzwischenräume (Zahnseide),fili utilizzati per pulire gli spazi fra i denti (fili interdentari),yarn used to clean between the teeth (dental floss),per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1996-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=33062000
39011000,390110,39,3901,"polyéthylène d'une densité inférieure à 0,94","Polyethylen mit einer Dichte von weniger als 0,94","polietilene di densità inferiore a 0,94",polyethylene having a specific gravity of less than 0.94,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=39011000
39071000,390710,39,3907,polyacétals,Polyacetale,poliacetali,polyacetals,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=39071000
39151000,391510,39,3915,de polymères de l'éthylène,von Polymeren des Ethylens,di polimeri di etilene,of polymers of ethylene,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=39151000
39207100,392071,39,3920,en cellulose régénérée,aus regenerierter Cellulose,di cellulosa rigenerata,of regenerated cellulose,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=39207100
42010000,420100,42,4201,"Articles de sellerie ou de bourrellerie pour tous animaux (y compris les traits, laisses, genouillères, muselières, tapis de selles, fontes, manteaux pour chiens et articles similaires), en toutes matières","Sattlerwaren für alle Tiere (einschliesslich Zugtaue, Leinen, Kniekappen, Maulkörbe, Satteldecken, Satteltaschen, Hundedecken und ähnliche Waren), aus Stoffen aller Art","Oggetti di selleria e finimenti per qualunque animale (compresi tirelle, guinzagli, ginocchielli, museruole, sottoselle, bisacce o fonde, mantelline per cani e articoli simili), di qualsiasi materia","Saddlery and harness for any animal (including traces, leads, knee pads, muzzles, saddle cloths, saddle bags, dog coats and the like), of any material",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=42010000
42022200,420222,42,4202,à surface extérieure en feuilles de matières plastiques ou en matières textiles,Aussenseite aus Kunststofffolien oder Spinnstoffen,con superficie esterna di fogli di materie plastiche o di materie tessili,with outer surface of sheeting of plastics or of textile materials,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=42022200
42029100,420291,42,4202,à surface extérieure en cuir naturel ou en cuir reconstitué,Aussenseite aus Leder oder rekonstituiertem Leder,con superficie esterna di cuoio o di pelli naturali o ricostituiti,with outer surface of leather or of composition leather,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=42029100
42032900,420329,42,4203,autres,andere,altri,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=42032900
